Este fichero guarda los outputs que se esperan al ejecutar: make runcmd2
El fichero logFile.dat almacena los outputs reales generados por el juego.

move south    #OK
move west     #OK
take crumb    #OK
move south    #ERROR
move south    #OK
move west     #OK
move south    #OK
move north    #OK
chat          #ERROR
take crumb    #ERROR
attack        #OK
move north    #OK
move south    #ERROR
chat          #OK
drop cookie   #ERROR
move south    #OK
drop crumb    #OK
take cookie   #OK
quit          #OK
